time: 00:00:00 count: 7 size: 1M load: 2.67 1.99 1.50 1/599 82405

time: 00:00:00 count: 7 size: 1M load: 2.78 2.02 1.51 3/599 82418

time: 00:00:00 count: 7 size: 1M load: 2.78 2.02 1.51 1/599 82445

time: 00:00:00 count: 7 size: 1M load: 2.78 2.02 1.51 1/599 82452

time: 00:00:00 count: 7 size: 1M load: 2.78 2.02 1.51 1/599 82459

time: 00:00:00 count: 7 size: 1M load: 2.78 2.02 1.51 1/599 82468

time: 00:00:00 count: 7 size: 1M load: 2.78 2.02 1.51 5/599 82473

time: 00:00:00 count: 7 size: 1M load: 2.78 2.02 1.51 2/599 82478

time: 00:00:00 count: 7 size: 1M load: 2.78 2.02 1.51 1/598 82487

time: 00:00:00 count: 7 size: 1M load: 2.78 2.02 1.51 1/598 82492

time: 00:00:00 | count: 7 | size: 1M | load: 2.60 2.18 1.62 1/595 82538

time: 00:00:00 | count: 7 | size: 1M | load: 2.60 2.18 1.62 2/595 82551

time: 00:00:00 | count: 7 | size: 1M | load: 2.71 2.21 1.63 9/595 82578

time: 00:00:00 | count: 7 | size: 1M | load: 2.71 2.21 1.63 4/595 82585

time: 00:00:00 | count: 7 | size: 1M | load: 2.71 2.21 1.63 5/595 82592

time: 00:00:00 | count: 7 | size: 1M | load: 2.71 2.21 1.63 10/596 82602

time: 00:00:00 | count: 7 | size: 1M | load: 2.71 2.21 1.63 8/596 82607

time: 00:00:00 | count: 7 | size: 1M | load: 2.71 2.21 1.63 6/597 82614

time: 00:00:00 | count: 7 | size: 1M | load: 2.71 2.21 1.63 6/596 82623

time: 00:00:00 | count: 7 | size: 1M | load: 2.71 2.21 1.63 10/596 82628

time: 14:43:47.030385 | count: 7 | size: 1M | load: 2.30 2.14 1.69 1/598 82688

time: 14:43:48.124573 | count: 7 | size: 1M | load: 2.30 2.14 1.69 1/598 82701

time: 14:43:49.351891 | count: 7 | size: 1M | load: 2.30 2.14 1.69 1/598 82728

time: 14:43:49.426530 | count: 7 | size: 1M | load: 2.30 2.14 1.69 1/598 82735

time: 14:43:49.539092 | count: 7 | size: 1M | load: 2.30 2.14 1.69 1/598 82742

time: 14:43:49.657409 | count: 7 | size: 1M | load: 2.30 2.14 1.69 4/598 82751

time: 14:43:49.733487 | count: 7 | size: 1M | load: 2.30 2.14 1.69 9/598 82756

time: 14:43:49.873439 | count: 7 | size: 1M | load: 2.30 2.14 1.69 3/598 82761

time: 14:43:50.030368 | count: 7 | size: 1M | load: 2.30 2.14 1.69 1/598 82770

time: 14:43:50.173925 | count: 7 | size: 1M | load: 2.30 2.14 1.69 6/598 82775

